relationship_id,source_id,target_id,relationship_type
R_000001,201001279,720000000,801000004
R_000002,201001279,620000000,801000005
R_000003,201001280,630000000,801000005
R_000004,201001281,720000000,801000004
R_000005,201001281,640000000,801000005
R_000006,201001282,640000000,801000005
R_000007,201001283,720000000,801000004
R_000008,201001283,650000000,801000005
R_000009,201001284,640000000,801000005
R_000010,201001285,720000000,801000004
R_000011,201001285,630000000,801000005
R_000012,201001286,720000000,801000004
R_000013,201001286,630000000,801000005
R_000014,201001287,720000000,801000004
R_000015,201001287,630000000,801000005
R_000016,201001288,720000000,801000004
R_000017,201001288,630000000,801000005
