relationship_id,source_id,target_id,relationship_type
R_000001,201001379,710000000,801000004
R_000002,201001379,620000000,801000005
R_000003,201001380,620000000,801000005
R_000004,201001381,610000000,801000005
R_000005,201001382,630000000,801000005
R_000006,201001383,620000000,801000005
R_000007,201001384,620000000,801000005
R_000008,201001385,640000000,801000005
R_000009,201001386,710000000,801000004
R_000010,201001386,630000000,801000005
R_000011,201001387,630000000,801000005
R_000012,201001388,710000000,801000004
R_000013,201001388,630000000,801000005
