relationship_id,source_id,target_id,relationship_type,amount,unit,step_order
R_000001,201001163,720000000,801000004,,,
R_000002,201001163,630000000,801000005,,,
R_000003,201001164,720000000,801000004,,,
R_000004,201001164,640000000,801000005,,,
R_000005,201001165,720000000,801000004,,,
R_000006,201001165,650000000,801000005,,,
R_000007,201001166,720000000,801000004,,,
R_000008,201001166,630000000,801000005,,,
R_000009,201001167,720000000,801000004,,,
R_000010,201001167,630000000,801000005,,,
R_000011,201001168,201001169,801000001,20,个,
R_000012,201001168,201001170,801000001,20,ml,
R_000013,201001168,201001171,801000001,200,g,
R_000014,201001168,201001172,801000001,1-2,g,
R_000015,201001168,201001173,801000001,10,ml,
R_000016,201001168,201001174,801000001,10,ml,
R_000017,201001168,201001175,801000001,50,g,
R_000018,201001168,201001176,801000001,10,g,
R_000019,201001168,201001177,801000001,10,g,
R_000020,201001168,201001178,801000001,5,g,
R_000021,201001168,201001179,801000003,,,1.0
R_000022,201001168,201001180,801000003,,,2.0
R_000023,201001168,201001181,801000003,,,3.0
R_000024,201001168,201001182,801000003,,,4.0
R_000025,201001168,720000000,801000004,,,
R_000026,201001168,630000000,801000005,,,
R_000027,201001183,201001184,801000001,500,克,
R_000028,201001183,201001185,801000001,适量,,
R_000029,201001183,201001186,801000001,2,个,
R_000030,201001183,201001187,801000001,30,克,
R_000031,201001183,201001188,801000001,120,克,
R_000032,201001183,201001189,801000001,20,克,
R_000033,201001183,201001190,801000001,15,克,
R_000034,201001183,201001191,801000001,15,克,
R_000035,201001183,201001192,801000001,80,克,
R_000036,201001183,201001193,801000001,4,克,
R_000037,201001183,201001194,801000001,2,克,
R_000038,201001183,201001195,801000001,3,克,
R_000039,201001183,201001196,801000001,5,克,
R_000040,201001183,201001197,801000001,5,克,
R_000041,201001183,201001198,801000001,3,克,
R_000042,201001183,201001199,801000001,3,克,
R_000043,201001183,201001200,801000001,8,克,
R_000044,201001183,201001201,801000003,,,1.0
R_000045,201001183,201001202,801000003,,,2.0
R_000046,201001183,201001203,801000003,,,3.0
R_000047,201001183,201001204,801000003,,,4.0
R_000048,201001183,201001205,801000003,,,5.0
R_000049,201001183,720000000,801000004,,,
R_000050,201001183,630000000,801000005,,,
R_000051,201001206,720000000,801000004,,,
R_000052,201001206,630000000,801000005,,,
R_000053,201001207,720000000,801000004,,,
R_000054,201001207,640000000,801000005,,,
R_000055,201001208,650000000,801000005,,,
