concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path,amount,unit,is_main,description,step_number,methods,tools,time_estimate
201001163,Recipe,可乐鸡翅,可乐鸡翅 (Recipe),可乐鸡翅,[],荤菜,3.0,,,,,,dishes\meat_dish\可乐鸡翅.md,,,,,,,,
201001164,Recipe,咕噜肉,咕噜肉 (Recipe),咕噜肉,[],荤菜,4.0,,,,,,dishes\meat_dish\咕噜肉.md,,,,,,,,
201001165,Recipe,商芝肉,商芝肉 (Recipe),商芝肉,[],荤菜,5.0,,,,,,dishes\meat_dish\商芝肉.md,,,,,,,,
201001166,Recipe,孜然牛肉,孜然牛肉 (Recipe),孜然牛肉,[],荤菜,3.0,,,,,,dishes\meat_dish\孜然牛肉.md,,,,,,,,
201001167,Recipe,小炒肉,小炒肉 (Recipe),小炒肉,[],荤菜,3.0,,,,,,dishes\meat_dish\小炒肉.md,,,,,,,,
201001168,Recipe,小米辣炒肉,小米辣炒肉 (Recipe),小米辣炒肉,[],荤菜,3.0,,10分钟,10分钟,1,"调料可根据个人喜好调整,加老抽更香",dishes\meat_dish\小米辣炒肉.md,,,,,,,,
201001169,Ingredient,小米椒,小米椒 (Ingredient),小米椒,[],蔬菜,,,,,,,,20,个,True,,,,,
201001170,Ingredient,花生油,花生油 (Ingredient),花生油,[],其他,,,,,,,,20,ml,False,,,,,
201001171,Ingredient,五花肉/瘦肉,五花肉/瘦肉 (Ingredient),五花肉/瘦肉,[],蛋白质,,,,,,,,200,g,True,,,,,
201001172,Ingredient,盐,盐 (Ingredient),盐,[],调料,,,,,,,,1-2,g,False,,,,,
201001173,Ingredient,生抽,生抽 (Ingredient),生抽,"[{'term': '淡色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲜味酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,10,ml,False,,,,,
201001174,Ingredient,蚝油,蚝油 (Ingredient),蚝油,[],调料,,,,,,,,10,ml,False,,,,,
201001175,Ingredient,姜蒜,姜蒜 (Ingredient),姜蒜,[],蔬菜,,,,,,,,50,g,False,,,,,
201001176,Ingredient,豆瓣酱,豆瓣酱 (Ingredient),豆瓣酱,[],调料,,,,,,,,10,g,False,,,,,
201001177,Ingredient,鸡精,鸡精 (Ingredient),鸡精,[],调料,,,,,,,,10,g,False,,,,,
201001178,Ingredient,白糖,白糖 (Ingredient),白糖,"[{'term': '细砂糖', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绵白糖', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,5,g,False,,,,,
201001179,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,将小米辣洗净，斜刀切大一点,1.0,"洗,切","刀,案板,盆",
201001180,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,将肉切丝或切片，倒入生抽、蚝油、盐腌制,2.0,"切,腌制","刀,案板,盆",5分钟
201001181,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,热锅倒油，先把肉炒好盛起,3.0,炒,"炒锅,锅铲",
201001182,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,姜蒜爆香，倒入豆瓣酱翻炒，倒入切好的小米辣，再倒入瘦肉，翻炒一下，放点生抽、鸡精、盐、糖翻炒均匀,4.0,"炒,爆香","炒锅,锅铲",
201001183,Recipe,小酥肉,小酥肉 (Recipe),小酥肉,[],荤菜,3.0,,60分钟,5-10分钟,,"红薯粉需揉散防炸,剩余可初炸冷藏后复炸",dishes\meat_dish\小酥肉.md,,,,,,,,
201001184,Ingredient,猪肉,猪肉 (Ingredient),猪肉,[],蛋白质,,,,,,,,500,克,True,,,,,
201001185,Ingredient,植物油,植物油 (Ingredient),植物油,[],其他,,,,,,,,适量,,False,,,,,
201001186,Ingredient,鸡蛋,鸡蛋 (Ingredient),鸡蛋,"[{'term': '鸡子', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '土鸡蛋', 'language': 'zh', 'language_code': 'zh-CN'}]",蛋白质,,,,,,,,2,个,False,,,,,
201001187,Ingredient,面粉,面粉 (Ingredient),面粉,[],淀粉类,,,,,,,,30,克,False,,,,,
201001188,Ingredient,红薯淀粉,红薯淀粉 (Ingredient),红薯淀粉,[],淀粉类,,,,,,,,120,克,False,,,,,
201001189,Ingredient,老姜,老姜 (Ingredient),老姜,[],蔬菜,,,,,,,,20,克,False,,,,,
201001190,Ingredient,小葱,小葱 (Ingredient),小葱,"[{'term': '香葱', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '细葱', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,15,克,False,,,,,
201001191,Ingredient,料酒,料酒 (Ingredient),料酒,"[{'term': '黄酒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绍兴酒', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,15,克,False,,,,,
201001192,Ingredient,清水,清水 (Ingredient),清水,[],其他,,,,,,,,80,克,False,,,,,
201001193,Ingredient,盐,盐 (Ingredient),盐,[],调料,,,,,,,,4,克,False,,,,,
201001194,Ingredient,十三香,十三香 (Ingredient),十三香,[],调料,,,,,,,,2,克,False,,,,,
201001195,Ingredient,胡椒粉,胡椒粉 (Ingredient),胡椒粉,[],调料,,,,,,,,3,克,False,,,,,
201001196,Ingredient,味精,味精 (Ingredient),味精,[],调料,,,,,,,,5,克,False,,,,,
201001197,Ingredient,鸡精,鸡精 (Ingredient),鸡精,[],调料,,,,,,,,5,克,False,,,,,
201001198,Ingredient,花椒碎,花椒碎 (Ingredient),花椒碎,[],调料,,,,,,,,3,克,False,,,,,
201001199,Ingredient,花椒粒,花椒粒 (Ingredient),花椒粒,[],调料,,,,,,,,3,克,False,,,,,
201001200,Ingredient,生抽,生抽 (Ingredient),生抽,"[{'term': '淡色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲜味酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,8,克,False,,,,,
201001201,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,老姜切丝，小葱不用切。根据计算公式倒入料酒、清水。用手捏揉5分钟，使姜葱的味道充分溶解在水中，制成葱姜水。,1.0,"切,揉",刀,5分钟
201001202,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,将猪肉去皮洗净，切成长度8~10厘米，厚度1.5厘米的肉条。加入盐、十三香、胡椒粉、味精、鸡精、花椒碎、花椒粒、生抽，倒入葱姜水。抓匀并且充分揉制10分钟，直至肉吸收所有水分并且变得粘手。封上保鲜膜放冷藏室静置30分钟。,2.0,"切,腌制,揉","刀,案板,保鲜膜",40分钟
201001203,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,将面粉、红薯淀粉倒入腌制好的肉中，加入鸡蛋清。充分揉制15分钟，使肉均匀裹上粉浆。,3.0,"裹粉,揉",盆,15分钟
201001204,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,锅中倒入植物油，大火加热至150°后，转小火保持温度。将裹好粉的肉条用筷子夹入油锅中，捋成喜欢的形状，炸3~5分钟定型。目测颜色微黄，用锅铲翻动感受略微有些硬即可捞出沥油。,4.0,炸,"炒锅,筷子,锅铲",3-5分钟
201001205,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,将油温升至180°，放入初炸好的肉条，复炸至金黄色即可捞出。,5.0,炸,"炒锅,漏勺",2-3分钟
201001206,Recipe,尖椒炒牛肉,尖椒炒牛肉 (Recipe),尖椒炒牛肉,[],荤菜,3.0,,,,,,dishes\meat_dish\尖椒炒牛肉.md,,,,,,,,
201001207,Recipe,山西过油肉,山西过油肉 (Recipe),山西过油肉,[],荤菜,4.0,,,,,,dishes\meat_dish\山西过油肉.md,,,,,,,,
201001208,Recipe,带把肘子,带把肘子 (Recipe),带把肘子,[],其他,5.0,,,,,,dishes\meat_dish\带把肘子.md,,,,,,,,
