relationship_id,source_id,target_id,relationship_type
R_000001,201001329,640000000,801000005
R_000002,201001330,630000000,801000005
R_000003,201001331,630000000,801000005
R_000004,201001332,630000000,801000005
R_000005,201001333,710000000,801000004
R_000006,201001333,610000000,801000005
R_000007,201001334,610000000,801000005
R_000008,201001335,710000000,801000004
R_000009,201001335,630000000,801000005
R_000010,201001336,620000000,801000005
R_000011,201001337,640000000,801000005
R_000012,201001338,710000000,801000004
R_000013,201001338,630000000,801000005
