relationship_id,source_id,target_id,relationship_type,amount,unit,step_order
R_000001,201000650,201000651,801000001,400,g,
R_000002,201000650,201000652,801000001,200,g,
R_000003,201000650,201000653,801000001,4,g,
R_000004,201000650,201000654,801000001,1,个,
R_000005,201000650,201000655,801000001,70,g,
R_000006,201000650,201000656,801000001,2,g,
R_000007,201000650,201000657,801000001,30,g,
R_000008,201000650,201000658,801000001,20,g,
R_000009,201000650,201000659,801000001,20,g,
R_000010,201000650,201000660,801000001,适量,,
R_000011,201000650,201000661,801000001,适量,,
R_000012,201000650,201000662,801000001,适量,,
R_000013,201000650,201000663,801000003,,,1.0
R_000014,201000650,201000664,801000003,,,2.0
R_000015,201000650,201000665,801000003,,,3.0
R_000016,201000650,201000666,801000003,,,4.0
R_000017,201000650,201000667,801000003,,,5.0
R_000018,201000650,201000668,801000003,,,6.0
R_000019,201000650,201000669,801000003,,,7.0
R_000020,201000650,201000670,801000003,,,8.0
R_000021,201000650,201000671,801000003,,,9.0
R_000022,201000650,201000672,801000003,,,10.0
R_000023,201000650,201000673,801000003,,,11.0
R_000024,201000650,201000674,801000003,,,12.0
R_000025,201000650,201000675,801000003,,,13.0
R_000026,201000650,201000676,801000003,,,14.0
R_000027,201000650,201000677,801000003,,,15.0
R_000028,201000650,770000000,801000004,,,
R_000029,201000650,740000000,801000004,,,
R_000030,201000650,650000000,801000005,,,
R_000031,201000678,201000679,801000001,250,g,
R_000032,201000678,201000680,801000001,30,g,
R_000033,201000678,201000681,801000001,100,g,
R_000034,201000678,201000682,801000001,2,个,
R_000035,201000678,201000683,801000001,30,g,
R_000036,201000678,201000684,801000001,适量,,
R_000037,201000678,201000685,801000003,,,1.0
R_000038,201000678,201000686,801000003,,,2.0
R_000039,201000678,201000687,801000003,,,3.0
R_000040,201000678,201000688,801000003,,,4.0
R_000041,201000678,201000689,801000003,,,5.0
R_000042,201000678,201000690,801000003,,,6.0
R_000043,201000678,201000691,801000003,,,7.0
R_000044,201000678,201000692,801000003,,,8.0
R_000045,201000678,201000693,801000003,,,9.0
R_000046,201000678,201000694,801000003,,,10.0
R_000047,201000678,201000695,801000003,,,11.0
R_000048,201000678,201000696,801000003,,,12.0
R_000049,201000678,201000697,801000003,,,13.0
R_000050,201000678,770000000,801000004,,,
R_000051,201000678,630000000,801000005,,,
R_000052,201000698,201000699,801000001,30,只,
R_000053,201000698,201000700,801000001,8,个,
R_000054,201000698,201000701,801000001,200,毫升,
R_000055,201000698,201000702,801000001,450,毫升,
R_000056,201000698,201000703,801000001,80,克,
R_000057,201000698,201000704,801000003,,,1.0
R_000058,201000698,201000705,801000003,,,2.0
R_000059,201000698,201000706,801000003,,,3.0
R_000060,201000698,201000707,801000003,,,4.0
R_000061,201000698,201000708,801000003,,,5.0
R_000062,201000698,201000709,801000003,,,6.0
R_000063,201000698,201000710,801000003,,,7.0
R_000064,201000698,201000711,801000003,,,8.0
R_000065,201000698,201000712,801000003,,,9.0
R_000066,201000698,201000713,801000003,,,10.0
R_000067,201000698,201000714,801000003,,,11.0
R_000068,201000698,201000715,801000003,,,12.0
R_000069,201000698,770000000,801000004,,,
R_000070,201000698,640000000,801000005,,,
R_000071,201000716,201000717,801000001,1,个,
R_000072,201000716,201000718,801000001,50,克,
R_000073,201000716,201000719,801000001,20,克,
R_000074,201000716,201000720,801000001,1,克,
R_000075,201000716,201000721,801000001,50,克,
R_000076,201000716,201000722,801000001,50,克,
R_000077,201000716,201000723,801000003,,,1.0
R_000078,201000716,201000724,801000003,,,2.0
R_000079,201000716,201000725,801000003,,,3.0
R_000080,201000716,201000726,801000003,,,4.0
R_000081,201000716,201000727,801000003,,,5.0
R_000082,201000716,201000728,801000003,,,6.0
R_000083,201000716,201000729,801000003,,,7.0
R_000084,201000716,770000000,801000004,,,
R_000085,201000716,630000000,801000005,,,
R_000086,201000730,201000731,801000001,2,个,
R_000087,201000730,201000732,801000001,80,g,
R_000088,201000730,201000733,801000001,20,g,
R_000089,201000730,201000734,801000001,15,ml,
R_000090,201000730,201000735,801000001,80,ml,
R_000091,201000730,201000736,801000001,15,g,
R_000092,201000730,201000737,801000003,,,1.0
R_000093,201000730,201000738,801000003,,,2.0
R_000094,201000730,201000739,801000003,,,3.0
R_000095,201000730,201000740,801000003,,,4.0
R_000096,201000730,201000741,801000003,,,5.0
R_000097,201000730,201000742,801000003,,,6.0
R_000098,201000730,201000743,801000003,,,7.0
R_000099,201000730,201000744,801000003,,,8.0
R_000100,201000730,201000745,801000003,,,9.0
R_000101,201000730,201000746,801000003,,,10.0
R_000102,201000730,770000000,801000004,,,
R_000103,201000730,630000000,801000005,,,
R_000104,201000747,201000748,801000001,200,g,
R_000105,201000747,201000749,801000001,3,g,
R_000106,201000747,201000750,801000001,165,g,
R_000107,201000747,201000751,801000001,125,g,
R_000108,201000747,201000752,801000001,22,g,
R_000109,201000747,201000753,801000001,30,g,
R_000110,201000747,201000754,801000001,145,g,
R_000111,201000747,201000755,801000001,26,g,
R_000112,201000747,201000756,801000003,,,1.0
R_000113,201000747,201000757,801000003,,,2.0
R_000114,201000747,201000758,801000003,,,3.0
R_000115,201000747,201000759,801000003,,,4.0
R_000116,201000747,201000760,801000003,,,5.0
R_000117,201000747,201000761,801000003,,,6.0
R_000118,201000747,201000762,801000003,,,7.0
R_000119,201000747,201000763,801000003,,,8.0
R_000120,201000747,201000764,801000003,,,9.0
R_000121,201000747,201000765,801000003,,,10.0
R_000122,201000747,770000000,801000004,,,
R_000123,201000747,650000000,801000005,,,
R_000124,201000766,201000767,801000001,40,g,
R_000125,201000766,201000768,801000001,180,g,
R_000126,201000766,201000769,801000001,30,g,
R_000127,201000766,201000770,801000001,1,g,
R_000128,201000766,201000771,801000001,5,g,
R_000129,201000766,201000772,801000001,1,个,
R_000130,201000766,201000773,801000001,45,g,
R_000131,201000766,201000774,801000001,50,g,
R_000132,201000766,201000775,801000003,,,1.0
R_000133,201000766,201000776,801000003,,,2.0
R_000134,201000766,201000777,801000003,,,3.0
R_000135,201000766,201000778,801000003,,,4.0
R_000136,201000766,201000779,801000003,,,5.0
R_000137,201000766,201000780,801000003,,,6.0
R_000138,201000766,201000781,801000003,,,7.0
R_000139,201000766,770000000,801000004,,,
R_000140,201000766,630000000,801000005,,,
R_000141,201000782,201000783,801000001,500,克,
R_000142,201000782,201000784,801000001,45,克,
R_000143,201000782,201000785,801000001,6,克,
R_000144,201000782,201000786,801000001,2,克,
R_000145,201000782,201000787,801000001,6,克,
R_000146,201000782,201000788,801000001,400,克,
R_000147,201000782,201000789,801000003,,,1.0
R_000148,201000782,201000790,801000003,,,2.0
R_000149,201000782,201000791,801000003,,,3.0
R_000150,201000782,201000792,801000003,,,4.0
R_000151,201000782,201000793,801000003,,,5.0
R_000152,201000782,201000794,801000003,,,6.0
R_000153,201000782,201000795,801000003,,,7.0
R_000154,201000782,770000000,801000004,,,
R_000155,201000782,620000000,801000005,,,
R_000156,201000796,201000797,801000001,200,g,
R_000157,201000796,201000798,801000001,40,g,
R_000158,201000796,201000799,801000001,250,g,
R_000159,201000796,201000800,801000001,6,g,
R_000160,201000796,201000801,801000003,,,1.0
R_000161,201000796,201000802,801000003,,,2.0
R_000162,201000796,201000803,801000003,,,3.0
R_000163,201000796,201000804,801000003,,,4.0
R_000164,201000796,201000805,801000003,,,5.0
R_000165,201000796,201000806,801000003,,,6.0
R_000166,201000796,770000000,801000004,,,
R_000167,201000796,640000000,801000005,,,
R_000168,201000807,201000808,801000001,20,g,
R_000169,201000807,201000809,801000001,75,g,
R_000170,201000807,201000810,801000001,40,g,
R_000171,201000807,201000811,801000001,60,g,
R_000172,201000807,201000812,801000001,75,g,
