concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path,amount,unit,is_main,description,step_number,methods,tools,time_estimate
201000024,Recipe,烤鱼,烤鱼 (Recipe),烤鱼,"[{'term': '烘烤鱼', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': 'baked鱼', 'language': 'en', 'language_code': 'en-US'}, {'term': 'roasted鱼', 'language': 'en', 'language_code': 'en-US'}]",荤菜,4.0,,,,,,dishes\aquatic\混合烤鱼\烤鱼.md,,,,,,,,
201000025,Recipe,清蒸鲈鱼,清蒸鲈鱼 (Recipe),清蒸鲈鱼,"[{'term': '清清蒸鲈鱼', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '清steamed鲈鱼', 'language': 'zh', 'language_code': 'zh-CN'}]",水产,3.0,粤菜,15分钟,10分钟,1份,"火候关键：大火蒸鱼10分钟内较佳，太久肉老，太短没熟,筷子隔开：蒸鱼需用筷子隔开装鱼的盘子，防止水滴导致腥，且能均匀受热",dishes\aquatic\清蒸鲈鱼\清蒸鲈鱼.md,,,,,,,,
201000026,Ingredient,鲈鱼,鲈鱼 (Ingredient),鲈鱼,[],蛋白质,,,,,,,,1,条,True,,,,,
201000027,Ingredient,香葱,香葱 (Ingredient),香葱,[],蔬菜,,,,,,,,3,根,False,,,,,
201000028,Ingredient,姜,姜 (Ingredient),姜,[],蔬菜,,,,,,,,1,块,False,,,,,
201000029,Ingredient,食用油,食用油 (Ingredient),食用油,[],调料,,,,,,,,10-15,ml,False,,,,,
201000030,Ingredient,蒸鱼豉油,蒸鱼豉油 (Ingredient),蒸鱼豉油,[],调料,,,,,,,,10-15,ml,False,,,,,
201000031,Ingredient,料酒,料酒 (Ingredient),料酒,"[{'term': '黄酒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绍兴酒', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,10-15,ml,False,,,,,
201000032,Ingredient,食用盐,食用盐 (Ingredient),食用盐,[],调料,,,,,,,,5-10,g,False,,,,,
201000033,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,姜切片切丝、香葱的葱白切段，葱绿切丝，切丝后放入冷水浸泡备用。,1.0,切,"刀,案板,碗",
201000034,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,鲈鱼处理好后洗净，用厨房纸擦干，两面分别划几刀，用盐洗掉鱼身的粘液，并用 10g 盐抹遍鱼身的内外，腌制 10 分钟以上。,2.0,"洗,切,腌制","厨房纸,刀,盘",10分钟以上
201000035,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,鱼肚内塞上姜和葱白，鱼身也撒上姜和葱白，量为备用的一半。蒸鱼的碟子用筷子将鱼跟碟子隔开蒸。,3.0,摆盘,"碟子,筷子",
201000036,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,水烧热感觉到水温后放入鱼，大火清蒸 10 分钟。,4.0,蒸,蒸锅,10分钟
201000037,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,蒸好的鱼，用干净的盘子装起来并去除身上姜蒜。,5.0,装盘,"盘子,筷子",
201000038,CookingStep,步骤6,步骤6 (Cooking Step),步骤6,,,,,,,,,,,,,鱼身浇上 15ml 蒸鱼豉油。,6.0,浇汁,,
201000039,CookingStep,步骤7,步骤7 (Cooking Step),步骤7,,,,,,,,,,,,,鱼身重新撒上姜和葱丝，锅内加上 10ml 食用油并烧热，将食用油淋至鱼身即可出菜。,7.0,"烧热,淋油",锅,
