relationship_id,source_id,target_id,relationship_type
R_000001,201001389,620000000,801000005
R_000002,201001390,630000000,801000005
R_000003,201001391,620000000,801000005
R_000004,201001392,710000000,801000004
R_000005,201001392,620000000,801000005
R_000006,201001393,620000000,801000005
R_000007,201001394,710000000,801000004
R_000008,201001394,620000000,801000005
R_000009,201001395,620000000,801000005
R_000010,201001396,710000000,801000004
R_000011,201001396,620000000,801000005
R_000012,201001397,710000000,801000004
R_000013,201001397,620000000,801000005
R_000014,201001398,630000000,801000005
