relationship_id,source_id,target_id,relationship_type
R_000001,201001269,640000000,801000005
R_000002,201001270,640000000,801000005
R_000003,201001271,720000000,801000004
R_000004,201001271,640000000,801000005
R_000005,201001272,720000000,801000004
R_000006,201001272,630000000,801000005
R_000007,201001273,720000000,801000004
R_000008,201001273,630000000,801000005
R_000009,201001274,720000000,801000004
R_000010,201001274,640000000,801000005
R_000011,201001275,620000000,801000005
R_000012,201001276,650000000,801000005
R_000013,201001277,720000000,801000004
R_000014,201001277,640000000,801000005
R_000015,201001278,650000000,801000005
