relationship_id,source_id,target_id,relationship_type
R_000001,201001359,640000000,801000005
R_000002,201001360,630000000,801000005
R_000003,201001361,720000000,801000004
R_000004,201001361,620000000,801000005
R_000005,201001362,720000000,801000004
R_000006,201001362,640000000,801000005
R_000007,201001363,620000000,801000005
R_000008,201001364,610000000,801000005
R_000009,201001365,720000000,801000004
R_000010,201001365,630000000,801000005
R_000011,201001366,720000000,801000004
R_000012,201001366,630000000,801000005
R_000013,201001367,710000000,801000004
R_000014,201001367,620000000,801000005
R_000015,201001368,630000000,801000005
