concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path,amount,unit,is_main,description,step_number,methods,tools,time_estimate
201000397,Recipe,蒸花卷,蒸花卷 (Recipe),蒸花卷,"[{'term': '清蒸花卷', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': 'steamed花卷', 'language': 'en', 'language_code': 'en-US'}]",早餐,2.0,,5分钟,15-20分钟,1-2人,"注意水量不低于50ml,防止干烧",dishes\breakfast\蒸花卷.md,,,,,,,,
201000398,Ingredient,冷冻花卷,冷冻花卷 (Ingredient),冷冻花卷,[],淀粉类,,,,,,,,5,个,True,,,,,
201000399,Ingredient,水,水 (Ingredient),水,[],其他,,,,,,,,400,ml,False,,,,,
201000400,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,从花卷的包装袋中取出 5 个花卷,1.0,,,
201000401,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,把花卷平铺在碟子上，尽量不用重叠,2.0,,圆碟子,
201000402,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,往锅里倒入 400ml 水，把蒸架放里面，把装花卷的碟子放在蒸架上，盖上锅盖。,3.0,,"锅,蒸架,圆碟子,锅盖",
201000403,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,开大火加热，直至水沸腾。,4.0,蒸,锅,至水沸腾
201000404,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,转中火加热 15 分钟,5.0,蒸,锅,15分钟
201000405,CookingStep,步骤6,步骤6 (Cooking Step),步骤6,,,,,,,,,,,,,开盖用手感受花卷的表面温度，如果不够热，就继续盖上盖子加热，否则就可以关火出锅。,6.0,,锅,
201000406,CookingStep,步骤7,步骤7 (Cooking Step),步骤7,,,,,,,,,,,,,碟子取出放凉至 50 度即可食用,7.0,,圆碟子,
201000407,Recipe,蛋煎糍粑,蛋煎糍粑 (Recipe),蛋煎糍粑,"[{'term': '蛋pan-fried糍粑', 'language': 'en', 'language_code': 'en-US'}]","早餐,主食",2.0,,5分钟,5分钟,1人份,"糍粑间隔防粘,鸡蛋量随糍粑调整,糖量依个人喜好",dishes\breakfast\蛋煎糍粑.md,,,,,,,,
201000408,Ingredient,糍粑,糍粑 (Ingredient),糍粑,[],淀粉类,,,,,,,,2,块,True,,,,,
201000409,Ingredient,鸡蛋,鸡蛋 (Ingredient),鸡蛋,"[{'term': '鸡子', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '土鸡蛋', 'language': 'zh', 'language_code': 'zh-CN'}]",蛋白质,,,,,,,,1,个,False,,,,,
201000410,Ingredient,红糖,红糖 (Ingredient),红糖,[],调料,,,,,,,,10,克,False,,,,,
201000411,Ingredient,食用油,食用油 (Ingredient),食用油,[],调料,,,,,,,,10-15,毫升,False,,,,,
201000412,Ingredient,食用盐,食用盐 (Ingredient),食用盐,[],调料,,,,,,,,2,克,False,,,,,
201000413,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,把糍粑切成长方形小块，便于后面煎,1.0,切,"刀,案板",未提及
201000414,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,碗里打入一个鸡蛋并把鸡蛋搅碎，加入 2g 食用盐,2.0,"打,搅拌","碗,筷子",未提及
201000415,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,将切好的小糍粑依次放入搅碎的鸡蛋里面，涂抹完糍粑双面为止,3.0,裹,"碗,筷子",未提及
201000416,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,锅里倒入植物油 10ml ，把涂抹好的糍粑小块放进去小火慢慢煎软,4.0,煎,"平底锅,锅铲",未提及
201000417,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,将剩下的鸡蛋液慢慢倒在糍粑表面,5.0,倒,平底锅,未提及
201000418,CookingStep,步骤6,步骤6 (Cooking Step),步骤6,,,,,,,,,,,,,用筷子或者勺子为糍粑翻面，来回煎至金黄色后开吃,6.0,"煎,翻面","筷子,平底锅",未提及
201000419,Recipe,金枪鱼酱三明治,金枪鱼酱三明治 (Recipe),金枪鱼酱三明治,[],早餐,1.0,,5分钟,,,"建议用水浸金枪鱼罐头,金枪鱼酱可提前冷藏,冷藏不超过一周需盖保鲜膜,按压前勿接通电源",dishes\breakfast\金枪鱼酱三明治.md,,,,,,,,
201000420,Ingredient,水浸金枪鱼,水浸金枪鱼 (Ingredient),水浸金枪鱼,[],蛋白质,,,,,,,,65,g,True,,,,,
201000421,Ingredient,方形吐司片,方形吐司片 (Ingredient),方形吐司片,[],淀粉类,,,,,,,,2,片,True,,,,,
201000422,Ingredient,蛋黄酱,蛋黄酱 (Ingredient),蛋黄酱,[],调料,,,,,,,,50,mL,False,,,,,
201000423,Ingredient,俄式酸黄瓜汁,俄式酸黄瓜汁 (Ingredient),俄式酸黄瓜汁,[],调料,,,,,,,,10-15,mL,False,,,,,
201000424,Ingredient,芝士片,芝士片 (Ingredient),芝士片,[],其他,,,,,,,,适量,片,False,,,,,
201000425,Ingredient,火腿片,火腿片 (Ingredient),火腿片,[],蛋白质,,,,,,,,适量,片,False,,,,,
201000426,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,将金枪鱼、蛋黄酱、俄式酸黄瓜汁倒入碗中，用勺子搅拌，保证将金枪鱼块搅碎，酱整体呈糊状，并备用,1.0,搅拌,"碗,勺子",
