relationship_id,source_id,target_id,relationship_type,amount,unit,step_order
R_000001,201000397,201000398,801000001,5,个,
R_000002,201000397,201000399,801000001,400,ml,
R_000003,201000397,201000400,801000003,,,1.0
R_000004,201000397,201000401,801000003,,,2.0
R_000005,201000397,201000402,801000003,,,3.0
R_000006,201000397,201000403,801000003,,,4.0
R_000007,201000397,201000404,801000003,,,5.0
R_000008,201000397,201000405,801000003,,,6.0
R_000009,201000397,201000406,801000003,,,7.0
R_000010,201000397,740000000,801000004,,,
R_000011,201000397,620000000,801000005,,,
R_000012,201000407,201000408,801000001,2,块,
R_000013,201000407,201000409,801000001,1,个,
R_000014,201000407,201000410,801000001,10,克,
R_000015,201000407,201000411,801000001,10-15,毫升,
R_000016,201000407,201000412,801000001,2,克,
R_000017,201000407,201000413,801000003,,,1.0
R_000018,201000407,201000414,801000003,,,2.0
R_000019,201000407,201000415,801000003,,,3.0
R_000020,201000407,201000416,801000003,,,4.0
R_000021,201000407,201000417,801000003,,,5.0
R_000022,201000407,201000418,801000003,,,6.0
R_000023,201000407,740000000,801000004,,,
R_000024,201000407,750000000,801000004,,,
R_000025,201000407,620000000,801000005,,,
R_000026,201000419,201000420,801000001,65,g,
R_000027,201000419,201000421,801000001,2,片,
R_000028,201000419,201000422,801000001,50,mL,
R_000029,201000419,201000423,801000001,10-15,mL,
R_000030,201000419,201000424,801000001,适量,片,
R_000031,201000419,201000425,801000001,适量,片,
R_000032,201000419,201000426,801000003,,,1.0
R_000033,201000419,201000427,801000003,,,2.0
R_000034,201000419,201000428,801000003,,,3.0
R_000035,201000419,201000429,801000003,,,4.0
R_000036,201000419,201000430,801000003,,,5.0
R_000037,201000419,740000000,801000004,,,
R_000038,201000419,610000000,801000005,,,
R_000039,201000431,201000432,801000001,1,个,
R_000040,201000431,201000433,801000001,2,片,
R_000041,201000431,201000434,801000001,2,片,
R_000042,201000431,201000435,801000001,10,g,
R_000043,201000431,201000436,801000001,20,g,
R_000044,201000431,201000437,801000001,1,g,
R_000045,201000431,201000438,801000001,2,g,
R_000046,201000431,201000439,801000003,,,1.0
R_000047,201000431,201000440,801000003,,,2.0
R_000048,201000431,201000441,801000003,,,3.0
R_000049,201000431,201000442,801000003,,,4.0
R_000050,201000431,201000443,801000003,,,5.0
R_000051,201000431,201000444,801000003,,,6.0
R_000052,201000431,740000000,801000004,,,
R_000053,201000431,620000000,801000005,,,
R_000054,201000445,201000446,801000001,1,个,
R_000055,201000445,201000447,801000001,适量,,
R_000056,201000445,201000448,801000001,适量,,
R_000057,201000445,201000449,801000003,,,1.0
R_000058,201000445,201000450,801000003,,,2.0
R_000059,201000445,201000451,801000003,,,3.0
R_000060,201000445,201000452,801000003,,,4.0
R_000061,201000445,201000453,801000003,,,5.0
R_000062,201000445,201000454,801000003,,,6.0
R_000063,201000445,201000455,801000003,,,7.0
R_000064,201000445,740000000,801000004,,,
R_000065,201000445,630000000,801000005,,,
R_000066,201000456,201000457,801000001,50,g,
R_000067,201000456,201000458,801000001,1-2,份,
R_000068,201000456,201000459,801000001,1-2,片,
R_000069,201000456,201000460,801000001,1-2,片,
R_000070,201000456,201000461,801000003,,,1.0
R_000071,201000456,201000462,801000003,,,2.0
R_000072,201000456,201000463,801000003,,,3.0
R_000073,201000456,201000464,801000003,,,4.0
R_000074,201000456,201000465,801000003,,,5.0
R_000075,201000456,201000466,801000003,,,6.0
R_000076,201000456,201000467,801000003,,,7.0
R_000077,201000456,201000468,801000003,,,8.0
R_000078,201000456,740000000,801000004,,,
R_000079,201000456,630000000,801000005,,,
R_000080,201000469,201000470,801000001,要烙饼的张数 / 0.13,g,
R_000081,201000469,201000471,801000001,要烙饼的张数 * 10,ml,
R_000082,201000469,201000472,801000001,要烙饼的张数 / 2,g,
R_000083,201000469,201000473,801000003,,,1.0
R_000084,201000469,201000474,801000003,,,2.0
R_000085,201000469,201000475,801000003,,,3.0
R_000086,201000469,790000000,801000004,,,
R_000087,201000469,620000000,801000005,,,
R_000088,201000476,201000477,801000001,60,克,
R_000089,201000476,201000478,801000001,20,克,
R_000090,201000476,201000479,801000001,10,克,
R_000091,201000476,201000480,801000001,15,克,
R_000092,201000476,201000481,801000001,20,克,
R_000093,201000476,201000482,801000001,15,克,
R_000094,201000476,201000483,801000001,8,克,
R_000095,201000476,201000484,801000001,5,克,
R_000096,201000476,201000485,801000001,5,克,
R_000097,201000476,201000486,801000001,30,克,
R_000098,201000476,201000487,801000001,适量,,
R_000099,201000476,201000488,801000001,10,毫升,
R_000100,201000476,201000489,801000001,10,毫升,
R_000101,201000476,201000490,801000001,10,毫升,
R_000102,201000476,201000491,801000001,10,毫升,
R_000103,201000476,201000492,801000003,,,1.0
R_000104,201000476,201000493,801000003,,,2.0
R_000105,201000476,201000494,801000003,,,3.0
R_000106,201000476,201000495,801000003,,,4.0
R_000107,201000476,790000000,801000004,,,
R_000108,201000476,620000000,801000005,,,
R_000109,201000496,201000497,801000001,100,ml,
R_000110,201000496,201000498,801000001,500,ml,
R_000111,201000496,201000499,801000001,适量,,
R_000112,201000496,201000500,801000003,,,1.0
R_000113,201000496,201000501,801000003,,,2.0
R_000114,201000496,201000502,801000003,,,3.0
R_000115,201000496,201000503,801000003,,,4.0
R_000116,201000496,201000504,801000003,,,5.0
R_000117,201000496,201000505,801000003,,,6.0
R_000118,201000496,790000000,801000004,,,
R_000119,201000496,640000000,801000005,,,
R_000120,201000506,201000507,801000001,50,ml,
R_000121,201000506,201000508,801000001,40,ml,
R_000122,201000506,201000509,801000001,30,g,
R_000123,201000506,201000510,801000001,20,ml,
R_000124,201000506,201000511,801000001,10,ml,
R_000125,201000506,201000512,801000003,,,1.0
R_000126,201000506,201000513,801000003,,,2.0
R_000127,201000506,201000514,801000003,,,3.0
R_000128,201000506,201000515,801000003,,,4.0
R_000129,201000506,790000000,801000004,,,
R_000130,201000506,620000000,801000005,,,
