concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path,amount,unit,is_main,description,step_number,methods,tools,time_estimate
201000821,Recipe,魔芋蛋糕,魔芋蛋糕 (Recipe),魔芋蛋糕,[],甜品,4.0,,约5分钟,25分钟,1份,"蛋清容器需无水无油,翻拌手法如炒菜翻炒,烤后震热气并倒扣冷却",dishes\dessert\魔芋蛋糕\魔芋蛋糕.md,,,,,,,,
201000822,Ingredient,鸡蛋,鸡蛋 (Ingredient),鸡蛋,"[{'term': '鸡子', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '土鸡蛋', 'language': 'zh', 'language_code': 'zh-CN'}]",蛋白质,,,,,,,,3,个,True,,,,,
201000823,Ingredient,赤藓糖醇,赤藓糖醇 (Ingredient),赤藓糖醇,[],调料,,,,,,,,50,g,False,,,,,
201000824,Ingredient,可可粉,可可粉 (Ingredient),可可粉,[],其他,,,,,,,,10,g,False,,,,,
201000825,Ingredient,魔芋粉,魔芋粉 (Ingredient),魔芋粉,[],淀粉类,,,,,,,,10,g,True,,,,,
201000826,Ingredient,塔塔粉,塔塔粉 (Ingredient),塔塔粉,[],调料,,,,,,,,1,g,False,,,,,
201000827,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,在准备蛋糕糊之前，预热烤箱至 350 ℉( 150 ℃)以节省时间。,1.0,烤,烤箱,未明确
201000828,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,准备两个容器并擦干，分别盛放蛋清与蛋黄。注意盛放蛋清的容器不能有任何油，蛋清中不能混有任何蛋黄。,2.0,分离,"容器,分蛋器",未明确
201000829,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,蛋清中加入1g塔塔粉，高速打发至粗大气泡状态后加入50g赤藓糖醇；中低速打发至干性发泡状态（提起打蛋器有短小直立尖角，倒扣容器蛋白不掉）。,3.0,打发,"电动打蛋器,容器",未明确
201000830,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,把分离的蛋黄加入打发的蛋清中搅拌均匀。加入10g可可粉和10g魔芋粉，用餐刀以类似炒菜的手法翻拌均匀，最后用打蛋器低速搅拌均匀。,4.0,"搅拌,翻拌","电动打蛋器,餐刀,搅拌盆",未明确
201000831,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,模具铺好烘焙纸，将蛋糕糊倒入模具用餐刀抹平，震荡几下避免大气泡。放入烤箱烘烤25分钟，烤好后戴隔热手套取出。,5.0,烤,"金属蛋糕模具,烘焙纸,餐刀,烤箱,隔热手套",25分钟
201000832,CookingStep,步骤6,步骤6 (Cooking Step),步骤6,,,,,,,,,,,,,将模具从高处落下震出热气，倒扣10分钟使蛋糕冷却。冷却后脱模，用餐刀切块食用。,6.0,"冷却,切","隔热手套,餐刀",10分钟
201000833,Recipe,龟苓膏,龟苓膏 (Recipe),龟苓膏,[],甜品,2.0,粤菜,,,2~4人,"冷却过程中不可随意移动容器,加热时避免使用大火防糊底,可搭配蜂蜜、炼乳或水果食用,根据品牌包装说明调整配比",dishes\dessert\龟苓膏\龟苓膏.md,,,,,,,,
201000834,Ingredient,龟苓膏粉,龟苓膏粉 (Ingredient),龟苓膏粉,[],其他,,,,,,,,25,克,True,,,,,
201000835,Ingredient,冷水,冷水 (Ingredient),冷水,[],其他,,,,,,,,120,毫升,False,,,,,
201000836,Ingredient,开水,开水 (Ingredient),开水,[],其他,,,,,,,,500,毫升,False,,,,,
201000837,Ingredient,白砂糖,白砂糖 (Ingredient),白砂糖,[],调料,,,,,,,,100,克,False,,,,,
201000838,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,在锅中倒入龟苓膏粉 25 克与冷水 120 毫升，充分搅拌至无颗粒感。,1.0,搅拌,"锅,搅拌工具",
201000839,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,在另一个容器中加入白砂糖 100 克，倒入沸水 500 毫升，搅拌至糖完全溶解。,2.0,搅拌,"容器,搅拌工具",
201000840,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,将糖水缓慢倒入龟苓膏粉液中，立即搅拌均匀，避免结块。,3.0,搅拌,搅拌工具,
201000841,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,将混合液体放入锅中，加热时保持中小火，并持续搅拌以防粘锅。,4.0,煮,"锅,搅拌工具",
201000842,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,加热至液体变粘稠并开始冒小泡，即可关火。,5.0,煮,锅,
201000843,CookingStep,步骤6,步骤6 (Cooking Step),步骤6,,,,,,,,,,,,,快速将液体倒入模具中，自然冷却凝固。建议冷藏 1~2 小时后食用，口感更佳。,6.0,冷藏,模具,1~2小时
201000844,Recipe,B52轰炸机,B52轰炸机 (Recipe),B52轰炸机,"[{'term': 'B52轰deep-fried机', 'language': 'en', 'language_code': 'en-US'}, {'term': 'B52轰油炸机', 'language': 'zh', 'language_code': 'zh-CN'}]",饮料,3.0,,,,1份,"使用吸管饮用,避免碰到杯口防烫伤,让火在嘴里灭掉,快速吸入使火苗熄灭",dishes\drink\B52轰炸机.md,,,,,,,,
201000845,Ingredient,甘露咖啡酒,甘露咖啡酒 (Ingredient),甘露咖啡酒,[],其他,,,,,,,,10,ml,True,,,,,
201000846,Ingredient,爱尔兰百利甜酒,爱尔兰百利甜酒 (Ingredient),爱尔兰百利甜酒,[],其他,,,,,,,,10,ml,True,,,,,
201000847,Ingredient,蓝天原味伏特加,蓝天原味伏特加 (Ingredient),蓝天原味伏特加,[],其他,,,,,,,,10,ml,True,,,,,
201000848,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,在利口酒杯的最底层倒入甘露咖啡酒到 1/3 处。(10ml),1.0,倒,利口酒杯,
201000849,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,顺着吧勺缓缓倒入爱尔兰百利甜酒，也是 1/3 处 (10ml)。注意要慢，保证层次分明。,2.0,倒,"吧勺,利口酒杯",
201000850,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,最后在上层倒入蓝天原味伏特加 （10ml),3.0,倒,利口酒杯,
201000851,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,用打火机热一下杯口,4.0,加热,打火机,
201000852,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,最后一步点火：看到淡蓝色的小火苗,5.0,点火,打火机,
201000853,Recipe,Mojito莫吉托,Mojito莫吉托 (Recipe),Mojito莫吉托,[],饮料,3.0,,,,1份,,dishes\drink\Mojito莫吉托.md,,,,,,,,
201000854,Ingredient,青柠,青柠 (Ingredient),青柠,[],其他,,,,,,,,1,块,True,,,,,
201000855,Ingredient,薄荷叶,薄荷叶 (Ingredient),薄荷叶,[],其他,,,,,,,,5,珠,False,,,,,
