concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path
201001369,Recipe,酱拌荞麦面,酱拌荞麦面 (Recipe),酱拌荞麦面,[],其他,2,,,,,,dishes\staple\酱拌荞麦面\酱拌荞麦面.md
201001370,Recipe,韩式拌饭,韩式拌饭 (Recipe),韩式拌饭,[],其他,3,,,,,,dishes\staple\韩式拌饭\韩式拌饭.md
201001371,Recipe,鲣鱼海苔玉米饭,鲣鱼海苔玉米饭 (Recipe),鲣鱼海苔玉米饭,[],荤菜,2,,,,,,dishes\staple\鲣鱼海苔玉米饭\鲣鱼海苔玉米饭.md
201001372,Recipe,凉拌油麦菜,凉拌油麦菜 (Recipe),凉拌油麦菜,[],其他,1,,,,,,dishes\vegetable_dish\凉拌油麦菜.md
201001373,Recipe,凉拌豆腐,凉拌豆腐 (Recipe),凉拌豆腐,"[{'term': '凉拌嫩豆腐', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '凉拌老豆腐', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '凉拌tofu', 'language': 'zh', 'language_code': 'zh-CN'}]",素菜,2,,,,,,dishes\vegetable_dish\凉拌豆腐.md
201001374,Recipe,凉拌金针菇,凉拌金针菇 (Recipe),凉拌金针菇,[],其他,2,,,,,,dishes\vegetable_dish\凉拌金针菇.md
201001375,Recipe,凉拌黄瓜,凉拌黄瓜 (Recipe),凉拌黄瓜,[],其他,1,,,,,,dishes\vegetable_dish\凉拌黄瓜.md
201001376,Recipe,地三鲜,地三鲜 (Recipe),地三鲜,[],其他,3,,,,,,dishes\vegetable_dish\地三鲜.md
201001377,Recipe,松仁玉米,松仁玉米 (Recipe),松仁玉米,[],其他,2,,,,,,dishes\vegetable_dish\松仁玉米.md
201001378,Recipe,水油焖蔬菜,水油焖蔬菜 (Recipe),水油焖蔬菜,"[{'term': '水油braised蔬菜', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '水oil-braised蔬菜', 'language': 'en', 'language_code': 'en-US'}, {'term': '水油闷蔬菜', 'language': 'zh', 'language_code': 'zh-CN'}]",其他,2,,,,,,dishes\vegetable_dish\水油焖蔬菜.md
