relationship_id,source_id,target_id,relationship_type
R_000001,201001369,620000000,801000005
R_000002,201001370,630000000,801000005
R_000003,201001371,720000000,801000004
R_000004,201001371,620000000,801000005
R_000005,201001372,610000000,801000005
R_000006,201001373,710000000,801000004
R_000007,201001373,620000000,801000005
R_000008,201001374,620000000,801000005
R_000009,201001375,610000000,801000005
R_000010,201001376,630000000,801000005
R_000011,201001377,620000000,801000005
R_000012,201001378,620000000,801000005
