concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path
201001209,Recipe,意式烤鸡,意式烤鸡 (Recipe),意式烤鸡,"[{'term': '意式roasted鸡', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '意式烘烤鸡', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '意式baked鸡', 'language': 'zh', 'language_code': 'zh-CN'}]",荤菜,3,,,,,,dishes\meat_dish\意式烤鸡.md
201001210,Recipe,杀猪菜,杀猪菜 (Recipe),杀猪菜,[],其他,4,,,,,,dishes\meat_dish\杀猪菜.md
201001211,Recipe,椒盐排条,椒盐排条 (Recipe),椒盐排条,[],其他,4,,,,,,dishes\meat_dish\椒盐排条.md
201001212,Recipe,水煮肉片,水煮肉片 (Recipe),水煮肉片,[],荤菜,5,,,,,,dishes\meat_dish\水煮肉片.md
201001213,Recipe,洋葱炒猪肉,洋葱炒猪肉 (Recipe),洋葱炒猪肉,[],荤菜,3,,,,,,dishes\meat_dish\洋葱炒猪肉.md
201001214,Recipe,烤鸡翅,烤鸡翅 (Recipe),烤鸡翅,"[{'term': 'baked鸡翅', 'language': 'en', 'language_code': 'en-US'}, {'term': 'roasted鸡翅', 'language': 'en', 'language_code': 'en-US'}, {'term': '烘烤鸡翅', 'language': 'zh', 'language_code': 'zh-CN'}]",荤菜,3,,,,,,dishes\meat_dish\烤鸡翅.md
201001215,Recipe,猪肉烩酸菜,猪肉烩酸菜 (Recipe),猪肉烩酸菜,[],荤菜,5,,,,,,dishes\meat_dish\猪肉烩酸菜.md
201001216,Recipe,甜辣烤全翅,甜辣烤全翅 (Recipe),甜辣烤全翅,"[{'term': '甜辣baked全翅', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '甜辣烘烤全翅', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '甜辣roasted全翅', 'language': 'zh', 'language_code': 'zh-CN'}]",其他,3,,,,,,dishes\meat_dish\甜辣烤全翅.md
201001217,Recipe,番茄红酱,番茄红酱 (Recipe),番茄红酱,[],其他,4,,,,,,dishes\meat_dish\番茄红酱.md
201001218,Recipe,白菜猪肉炖粉条,白菜猪肉炖粉条 (Recipe),白菜猪肉炖粉条,"[{'term': '小白菜猪肉炖粉条', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': 'cabbage猪肉炖粉条', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '白菜猪肉煲粉条', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '大白菜猪肉炖粉条', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '白菜猪肉stewed粉条', 'language': 'zh', 'language_code': 'zh-CN'}]",荤菜,3,,,,,,dishes\meat_dish\白菜猪肉炖粉条.md
