relationship_id,source_id,target_id,relationship_type
R_000001,201001209,720000000,801000004
R_000002,201001209,630000000,801000005
R_000003,201001210,640000000,801000005
R_000004,201001211,640000000,801000005
R_000005,201001212,720000000,801000004
R_000006,201001212,650000000,801000005
R_000007,201001213,720000000,801000004
R_000008,201001213,630000000,801000005
R_000009,201001214,720000000,801000004
R_000010,201001214,630000000,801000005
R_000011,201001215,720000000,801000004
R_000012,201001215,650000000,801000005
R_000013,201001216,630000000,801000005
R_000014,201001217,640000000,801000005
R_000015,201001218,720000000,801000004
R_000016,201001218,630000000,801000005
