relationship_id,source_id,target_id,relationship_type
R_000001,201001229,630000000,801000005
R_000002,201001230,720000000,801000004
R_000003,201001230,630000000,801000005
R_000004,201001231,720000000,801000004
R_000005,201001231,630000000,801000005
R_000006,201001232,630000000,801000005
R_000007,201001233,720000000,801000004
R_000008,201001233,640000000,801000005
R_000009,201001234,720000000,801000004
R_000010,201001234,630000000,801000005
R_000011,201001235,630000000,801000005
R_000012,201001236,720000000,801000004
R_000013,201001236,630000000,801000005
R_000014,201001237,720000000,801000004
R_000015,201001237,650000000,801000005
R_000016,201001238,640000000,801000005
