relationship_id,source_id,target_id,relationship_type,amount,unit,step_order
R_000001,201000943,201000944,801000001,200,g,
R_000002,201000943,201000945,801000001,2000,g,
R_000003,201000943,201000946,801000001,10ml/10g,ml/g,
R_000004,201000943,201000947,801000003,,,1.0
R_000005,201000943,201000948,801000003,,,2.0
R_000006,201000943,201000949,801000003,,,3.0
R_000007,201000943,201000950,801000003,,,4.0
R_000008,201000943,201000951,801000003,,,5.0
R_000009,201000943,780000000,801000004,,,
R_000010,201000943,620000000,801000005,,,
R_000011,201000952,201000953,801000001,2,个,
R_000012,201000952,201000954,801000001,1/2,个,
R_000013,201000952,201000955,801000001,4,叶,
R_000014,201000952,201000956,801000001,700,ml,
R_000015,201000952,201000957,801000001,12,克,
R_000016,201000952,201000958,801000003,,,1.0
R_000017,201000952,201000959,801000003,,,2.0
R_000018,201000952,201000960,801000003,,,3.0
R_000019,201000952,201000961,801000003,,,4.0
R_000020,201000952,201000962,801000003,,,5.0
R_000021,201000952,201000963,801000003,,,6.0
R_000022,201000952,201000964,801000003,,,7.0
R_000023,201000952,201000965,801000003,,,8.0
R_000024,201000952,780000000,801000004,,,
R_000025,201000952,610000000,801000005,,,
R_000026,201000966,201000967,801000001,40~45,克,
R_000027,201000966,201000968,801000001,40~45,克,
R_000028,201000966,201000969,801000001,几块,块,
R_000029,201000966,201000970,801000003,,,1.0
R_000030,201000966,201000971,801000003,,,2.0
R_000031,201000966,201000972,801000003,,,3.0
R_000032,201000966,201000973,801000003,,,4.0
R_000033,201000966,201000974,801000003,,,5.0
R_000034,201000966,201000975,801000003,,,6.0
R_000035,201000966,780000000,801000004,,,
R_000036,201000966,610000000,801000005,,,
R_000037,201000976,201000977,801000001,600,毫升,
R_000038,201000976,201000978,801000001,20,克,
R_000039,201000976,201000979,801000001,24,克,
R_000040,201000976,201000980,801000001,18,毫升,
R_000041,201000976,201000981,801000001,24,克,
R_000042,201000976,201000982,801000003,,,1.0
R_000043,201000976,201000983,801000003,,,2.0
R_000044,201000976,201000984,801000003,,,3.0
R_000045,201000976,201000985,801000003,,,4.0
R_000046,201000976,201000986,801000003,,,5.0
R_000047,201000976,201000987,801000003,,,6.0
R_000048,201000976,780000000,801000004,,,
R_000049,201000976,630000000,801000005,,,
R_000050,201000988,201000989,801000001,15,ml,
R_000051,201000988,201000990,801000001,35~50,ml,
R_000052,201000988,201000991,801000001,50,ml,
R_000053,201000988,201000992,801000001,30,ml,
R_000054,201000988,201000993,801000001,15,ml,
R_000055,201000988,201000994,801000001,15,ml,
R_000056,201000988,201000995,801000001,适量,,
R_000057,201000988,201000996,801000001,1,片,
R_000058,201000988,201000997,801000003,,,1.0
R_000059,201000988,201000998,801000003,,,2.0
R_000060,201000988,201000999,801000003,,,3.0
R_000061,201000988,201001000,801000003,,,4.0
R_000062,201000988,201001001,801000003,,,5.0
R_000063,201000988,201001002,801000003,,,6.0
R_000064,201000988,201001003,801000003,,,7.0
R_000065,201000988,201001004,801000003,,,8.0
R_000066,201000988,780000000,801000004,,,
R_000067,201000988,630000000,801000005,,,
R_000068,201001005,201001006,801000001,3,个,
R_000069,201001005,201001007,801000001,1,个,
R_000070,201001005,201001008,801000001,3~6,克,
R_000071,201001005,201001009,801000001,150,毫升,
R_000072,201001005,201001010,801000001,160,克,
R_000073,201001005,201001011,801000001,30,克,
R_000074,201001005,201001012,801000001,10,克,
R_000075,201001005,201001013,801000001,适量,,
R_000076,201001005,201001014,801000003,,,1.0
R_000077,201001005,201001015,801000003,,,2.0
R_000078,201001005,201001016,801000003,,,3.0
R_000079,201001005,201001017,801000003,,,4.0
R_000080,201001005,780000000,801000004,,,
R_000081,201001005,630000000,801000005,,,
R_000082,201001018,201001019,801000001,500,ml,
R_000083,201001018,201001020,801000001,10,g,
R_000084,201001018,201001021,801000001,适量,,
R_000085,201001018,201001022,801000003,,,1.0
R_000086,201001018,201001023,801000003,,,2.0
R_000087,201001018,201001024,801000003,,,3.0
R_000088,201001018,201001025,801000003,,,4.0
R_000089,201001018,201001026,801000003,,,5.0
R_000090,201001018,780000000,801000004,,,
R_000091,201001018,610000000,801000005,,,
R_000092,201001027,201001028,801000001,1~2,个,
R_000093,201001027,201001029,801000001,2~4,克,
R_000094,201001027,201001030,801000001,60,克,
R_000095,201001027,201001031,801000001,10,克,
R_000096,201001027,201001032,801000003,,,1.0
R_000097,201001027,201001033,801000003,,,2.0
R_000098,201001027,201001034,801000003,,,3.0
R_000099,201001027,201001035,801000003,,,4.0
R_000100,201001027,201001036,801000003,,,5.0
R_000101,201001027,780000000,801000004,,,
R_000102,201001027,620000000,801000005,,,
R_000103,201001037,201001038,801000001,30,ml,
R_000104,201001037,201001039,801000001,60,ml,
R_000105,201001037,201001040,801000001,50,g,
R_000106,201001037,201001041,801000001,30,ml,
R_000107,201001037,201001042,801000001,30,ml,
R_000108,201001037,201001043,801000001,10,ml,
R_000109,201001037,201001044,801000001,8,g,
R_000110,201001037,201001045,801000001,0.5,g,
R_000111,201001037,201001046,801000001,5,ml,
R_000112,201001037,201001047,801000003,,,1.0
R_000113,201001037,201001048,801000003,,,2.0
R_000114,201001037,201001049,801000003,,,3.0
R_000115,201001037,201001050,801000003,,,4.0
R_000116,201001037,780000000,801000004,,,
R_000117,201001037,630000000,801000005,,,
R_000118,201001051,201001052,801000001,800,g,
R_000119,201001051,201001053,801000001,8,g,
R_000120,201001051,201001054,801000001,1320,g,
R_000121,201001051,201001055,801000001,20,ml,
R_000122,201001051,201001056,801000003,,,1.0
R_000123,201001051,201001057,801000003,,,2.0
R_000124,201001051,201001058,801000003,,,3.0
R_000125,201001051,201001059,801000003,,,4.0
R_000126,201001051,201001060,801000003,,,5.0
R_000127,201001051,201001061,801000003,,,6.0
R_000128,201001051,201001062,801000003,,,7.0
R_000129,201001051,780000000,801000004,,,
R_000130,201001051,640000000,801000005,,,
