relationship_id,source_id,target_id,relationship_type
R_000001,201001289,720000000,801000004
R_000002,201001289,640000000,801000005
R_000003,201001290,720000000,801000004
R_000004,201001290,630000000,801000005
R_000005,201001291,710000000,801000004
R_000006,201001291,630000000,801000005
R_000007,201001292,640000000,801000005
R_000008,201001293,610000000,801000005
R_000009,201001294,630000000,801000005
R_000010,201001295,610000000,801000005
R_000011,201001296,650000000,801000005
R_000012,201001297,610000000,801000005
R_000013,201001298,620000000,801000005
