relationship_id,source_id,target_id,relationship_type
R_000001,201001219,720000000,801000004
R_000002,201001219,640000000,801000005
R_000003,201001220,640000000,801000005
R_000004,201001221,710000000,801000004
R_000005,201001221,630000000,801000005
R_000006,201001222,640000000,801000005
R_000007,201001223,720000000,801000004
R_000008,201001223,620000000,801000005
R_000009,201001224,650000000,801000005
R_000010,201001225,630000000,801000005
R_000011,201001226,720000000,801000004
R_000012,201001226,630000000,801000005
R_000013,201001227,720000000,801000004
R_000014,201001227,630000000,801000005
R_000015,201001228,720000000,801000004
R_000016,201001228,640000000,801000005
