relationship_id,source_id,target_id,relationship_type,amount,unit,step_order
R_000001,201000516,201000517,801000001,200,克,
R_000002,201000516,201000518,801000001,80,克,
R_000003,201000516,201000519,801000001,20,克,
R_000004,201000516,201000520,801000001,10,毫升,
R_000005,201000516,201000521,801000001,150,克,
R_000006,201000516,201000522,801000001,50,克,
R_000007,201000516,201000523,801000001,适量,,
R_000008,201000516,201000524,801000003,,,1.0
R_000009,201000516,201000525,801000003,,,2.0
R_000010,201000516,201000526,801000003,,,3.0
R_000011,201000516,201000527,801000003,,,4.0
R_000012,201000516,201000528,801000003,,,5.0
R_000013,201000516,790000000,801000004,,,
R_000014,201000516,630000000,801000005,,,
R_000015,201000529,201000530,801000001,2,瓣,
R_000016,201000529,201000531,801000001,5,克,
R_000017,201000529,201000532,801000001,15,毫升,
R_000018,201000529,201000533,801000001,30,毫升,
R_000019,201000529,201000534,801000003,,,1.0
R_000020,201000529,201000535,801000003,,,2.0
R_000021,201000529,201000536,801000003,,,3.0
R_000022,201000529,201000537,801000003,,,4.0
R_000023,201000529,790000000,801000004,,,
R_000024,201000529,620000000,801000005,,,
R_000025,201000538,201000539,801000001,100,克,
R_000026,201000538,201000540,801000001,150,毫升,
R_000027,201000538,201000541,801000001,1,个,
R_000028,201000538,201000542,801000001,1,个,
R_000029,201000538,201000543,801000001,15,克,
R_000030,201000538,201000544,801000001,5,克,
R_000031,201000538,201000545,801000001,10,克,
R_000032,201000538,201000546,801000001,1,个,
R_000033,201000538,201000547,801000001,3-5,根,
R_000034,201000538,201000548,801000001,1,个,
R_000035,201000538,201000549,801000001,20-50,粒,
R_000036,201000538,201000550,801000001,2-3,片,
R_000037,201000538,201000551,801000001,2-3,片,
R_000038,201000538,201000552,801000001,适量,,
R_000039,201000538,201000553,801000001,30,克,
R_000040,201000538,201000554,801000001,5,毫升,
R_000041,201000538,201000555,801000003,,,1.0
R_000042,201000538,201000556,801000003,,,2.0
R_000043,201000538,201000557,801000003,,,3.0
R_000044,201000538,201000558,801000003,,,4.0
R_000045,201000538,201000559,801000003,,,5.0
R_000046,201000538,201000560,801000003,,,6.0
R_000047,201000538,201000561,801000003,,,7.0
R_000048,201000538,201000562,801000003,,,8.0
R_000049,201000538,201000563,801000003,,,9.0
R_000050,201000538,201000564,801000003,,,10.0
R_000051,201000538,201000565,801000003,,,11.0
R_000052,201000538,790000000,801000004,,,
R_000053,201000538,630000000,801000005,,,
R_000054,201000566,201000567,801000001,1200,克,
R_000055,201000566,201000568,801000001,400,克,
R_000056,201000566,201000569,801000003,,,1.0
R_000057,201000566,201000570,801000003,,,2.0
R_000058,201000566,201000571,801000003,,,3.0
R_000059,201000566,201000572,801000003,,,4.0
R_000060,201000566,201000573,801000003,,,5.0
R_000061,201000566,201000574,801000003,,,6.0
R_000062,201000566,201000575,801000003,,,7.0
R_000063,201000566,790000000,801000004,,,
R_000064,201000566,620000000,801000005,,,
R_000065,201000576,201000577,801000001,100,克,
R_000066,201000576,201000578,801000001,100,克,
R_000067,201000576,201000579,801000003,,,1.0
R_000068,201000576,201000580,801000003,,,2.0
R_000069,201000576,790000000,801000004,,,
R_000070,201000576,610000000,801000005,,,
R_000071,201000581,201000582,801000001,200,g,
R_000072,201000581,201000583,801000001,30,g,
R_000073,201000581,201000584,801000001,15,g,
R_000074,201000581,201000585,801000001,适量,,
R_000075,201000581,201000586,801000001,适量,,
R_000076,201000581,201000587,801000003,,,1.0
R_000077,201000581,201000588,801000003,,,2.0
R_000078,201000581,201000589,801000003,,,3.0
R_000079,201000581,201000590,801000003,,,4.0
R_000080,201000581,201000591,801000003,,,5.0
R_000081,201000581,201000592,801000003,,,6.0
R_000082,201000581,770000000,801000004,,,
R_000083,201000581,630000000,801000005,,,
R_000084,201000593,201000594,801000001,125,ml,
R_000085,201000593,201000595,801000001,250,ml,
R_000086,201000593,201000596,801000001,35,ml,
R_000087,201000593,201000597,801000001,50,ml,
R_000088,201000593,201000598,801000001,10,g,
R_000089,201000593,201000599,801000001,适量,g,
R_000090,201000593,201000600,801000003,,,1.0
R_000091,201000593,201000601,801000003,,,2.0
R_000092,201000593,201000602,801000003,,,3.0
R_000093,201000593,201000603,801000003,,,4.0
R_000094,201000593,201000604,801000003,,,5.0
R_000095,201000593,201000605,801000003,,,6.0
R_000096,201000593,201000606,801000003,,,7.0
R_000097,201000593,201000607,801000003,,,8.0
R_000098,201000593,770000000,801000004,,,
R_000099,201000593,640000000,801000005,,,
R_000100,201000608,201000609,801000001,6,块,
R_000101,201000608,201000610,801000001,18,克,
R_000102,201000608,201000611,801000001,250,毫升,
R_000103,201000608,201000612,801000003,,,1.0
R_000104,201000608,201000613,801000003,,,2.0
R_000105,201000608,201000614,801000003,,,3.0
R_000106,201000608,201000615,801000003,,,4.0
R_000107,201000608,201000616,801000003,,,5.0
R_000108,201000608,201000617,801000003,,,6.0
R_000109,201000608,201000618,801000003,,,7.0
R_000110,201000608,770000000,801000004,,,
R_000111,201000608,630000000,801000005,,,
R_000112,201000619,201000620,801000001,3(6寸)/5(8寸),个,
R_000113,201000619,201000621,801000001,50(6寸)/80(8寸),克,
R_000114,201000619,201000622,801000001,25(6寸)/40(8寸),克,
R_000115,201000619,201000623,801000001,30(6寸)/50(8寸),克,
R_000116,201000619,201000624,801000001,50(6寸)/90(8寸),克,
R_000117,201000619,201000625,801000001,适量,滴,
R_000118,201000619,201000626,801000003,,,1.0
R_000119,201000619,201000627,801000003,,,2.0
R_000120,201000619,201000628,801000003,,,3.0
R_000121,201000619,201000629,801000003,,,4.0
R_000122,201000619,201000630,801000003,,,5.0
R_000123,201000619,201000631,801000003,,,6.0
R_000124,201000619,770000000,801000004,,,
R_000125,201000619,650000000,801000005,,,
R_000126,201000632,201000633,801000001,450,g,
R_000127,201000632,201000634,801000001,1,包,
R_000128,201000632,201000635,801000001,350,ml,
R_000129,201000632,201000636,801000001,4,个,
R_000130,201000632,201000637,801000001,50,g,
R_000131,201000632,201000638,801000001,10,g,
R_000132,201000632,201000639,801000001,35,ml,
R_000133,201000632,201000640,801000003,,,1.0
R_000134,201000632,201000641,801000003,,,2.0
R_000135,201000632,201000642,801000003,,,3.0
R_000136,201000632,201000643,801000003,,,4.0
R_000137,201000632,201000644,801000003,,,5.0
R_000138,201000632,201000645,801000003,,,6.0
R_000139,201000632,201000646,801000003,,,7.0
R_000140,201000632,201000647,801000003,,,8.0
R_000141,201000632,201000648,801000003,,,9.0
R_000142,201000632,201000649,801000003,,,10.0
R_000143,201000632,770000000,801000004,,,
R_000144,201000632,640000000,801000005,,,
