relationship_id,source_id,target_id,relationship_type
R_000001,201001309,620000000,801000005
R_000002,201001310,710000000,801000004
R_000003,201001310,620000000,801000005
R_000004,201001311,640000000,801000005
R_000005,201001312,640000000,801000005
R_000006,201001313,710000000,801000004
R_000007,201001313,620000000,801000005
R_000008,201001314,620000000,801000005
R_000009,201001315,640000000,801000005
R_000010,201001316,630000000,801000005
R_000011,201001317,640000000,801000005
R_000012,201001318,710000000,801000004
R_000013,201001318,630000000,801000005
