relationship_id,source_id,target_id,relationship_type
R_000001,201001409,710000000,801000004
R_000002,201001409,610000000,801000005
R_000003,201001410,630000000,801000005
R_000004,201001411,620000000,801000005
R_000005,201001412,620000000,801000005
R_000006,201001413,630000000,801000005
R_000007,201001414,620000000,801000005
R_000008,201001415,620000000,801000005
R_000009,201001416,710000000,801000004
R_000010,201001416,620000000,801000005
R_000011,201001417,620000000,801000005
R_000012,201001418,630000000,801000005
