relationship_id,source_id,target_id,relationship_type
R_000001,201001249,720000000,801000004
R_000002,201001249,650000000,801000005
R_000003,201001250,720000000,801000004
R_000004,201001250,640000000,801000005
R_000005,201001251,640000000,801000005
R_000006,201001252,720000000,801000004
R_000007,201001252,640000000,801000005
R_000008,201001253,720000000,801000004
R_000009,201001253,640000000,801000005
R_000010,201001254,720000000,801000004
R_000011,201001254,650000000,801000005
R_000012,201001255,650000000,801000005
R_000013,201001256,640000000,801000005
R_000014,201001257,720000000,801000004
R_000015,201001257,640000000,801000005
R_000016,201001258,720000000,801000004
R_000017,201001258,630000000,801000005
