relationship_id,source_id,target_id,relationship_type
R_000001,201001399,620000000,801000005
R_000002,201001400,620000000,801000005
R_000003,201001401,710000000,801000004
R_000004,201001401,630000000,801000005
R_000005,201001402,630000000,801000005
R_000006,201001403,630000000,801000005
R_000007,201001404,630000000,801000005
R_000008,201001405,630000000,801000005
R_000009,201001406,630000000,801000005
R_000010,201001407,720000000,801000004
R_000011,201001407,630000000,801000005
R_000012,201001408,710000000,801000004
R_000013,201001408,620000000,801000005
