relationship_id,source_id,target_id,relationship_type
R_000001,201001299,710000000,801000004
R_000002,201001299,630000000,801000005
R_000003,201001300,620000000,801000005
R_000004,201001301,630000000,801000005
R_000005,201001302,720000000,801000004
R_000006,201001302,620000000,801000005
R_000007,201001303,610000000,801000005
R_000008,201001304,610000000,801000005
R_000009,201001305,620000000,801000005
R_000010,201001306,640000000,801000005
R_000011,201001307,710000000,801000004
R_000012,201001307,630000000,801000005
R_000013,201001308,710000000,801000004
R_000014,201001308,630000000,801000005
