relationship_id,source_id,target_id,relationship_type
R_000001,201001419,630000000,801000005
R_000002,201001420,710000000,801000004
R_000003,201001420,620000000,801000005
R_000004,201001421,710000000,801000004
R_000005,201001421,620000000,801000005
R_000006,201001422,620000000,801000005
R_000007,201001423,710000000,801000004
R_000008,201001423,620000000,801000005
R_000009,201001424,710000000,801000004
R_000010,201001424,630000000,801000005
R_000011,201001425,710000000,801000004
R_000012,201001425,620000000,801000005
