concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path
201001239,Recipe,啤酒鸭,啤酒鸭 (Recipe),啤酒鸭,[],其他,4,,,,,,dishes\meat_dish\啤酒鸭\啤酒鸭.md
201001240,Recipe,回锅肉,回锅肉 (Recipe),回锅肉,[],荤菜,4,,,,,,dishes\meat_dish\回锅肉\回锅肉.md
201001241,Recipe,土豆炖排骨,土豆炖排骨 (Recipe),土豆炖排骨,"[{'term': '马铃薯炖排骨', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '洋芋炖排骨', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '土豆stewed排骨', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '土豆煲排骨', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': 'potato炖排骨', 'language': 'zh', 'language_code': 'zh-CN'}]",其他,3,,,,,,dishes\meat_dish\土豆炖排骨\土豆炖排骨.md
201001242,Recipe,奶酪培根通心粉,奶酪培根通心粉 (Recipe),奶酪培根通心粉,[],其他,3,,,,,,dishes\meat_dish\奶酪培根通心粉\奶酪培根通心粉.md
201001243,Recipe,姜炒鸡,姜炒鸡 (Recipe),姜炒鸡,[],荤菜,3,,,,,,dishes\meat_dish\姜炒鸡\姜炒鸡.md
201001244,Recipe,姜葱捞鸡,姜葱捞鸡 (Recipe),姜葱捞鸡,[],荤菜,3,,,,,,dishes\meat_dish\姜葱捞鸡\姜葱捞鸡.md
201001245,Recipe,宫保鸡丁,宫保鸡丁 (Recipe),宫保鸡丁,[],荤菜,4,,,,,,dishes\meat_dish\宫保鸡丁\宫保鸡丁.md
201001246,Recipe,小炒鸡肝,小炒鸡肝 (Recipe),小炒鸡肝,[],荤菜,3,,,,,,dishes\meat_dish\小炒鸡肝\小炒鸡肝.md
201001247,Recipe,小炒黄牛肉,小炒黄牛肉 (Recipe),小炒黄牛肉,[],荤菜,4,,,,,,dishes\meat_dish\小炒黄牛肉\小炒黄牛肉.md
201001248,Recipe,尖叫牛蛙,尖叫牛蛙 (Recipe),尖叫牛蛙,[],其他,4,,,,,,dishes\meat_dish\尖叫牛蛙\尖叫牛蛙.md
