relationship_id,source_id,target_id,relationship_type
R_000001,201001239,640000000,801000005
R_000002,201001240,720000000,801000004
R_000003,201001240,640000000,801000005
R_000004,201001241,630000000,801000005
R_000005,201001242,630000000,801000005
R_000006,201001243,720000000,801000004
R_000007,201001243,630000000,801000005
R_000008,201001244,720000000,801000004
R_000009,201001244,630000000,801000005
R_000010,201001245,720000000,801000004
R_000011,201001245,640000000,801000005
R_000012,201001246,720000000,801000004
R_000013,201001246,630000000,801000005
R_000014,201001247,720000000,801000004
R_000015,201001247,640000000,801000005
R_000016,201001248,640000000,801000005
